file,type,description,created_by_phase,status,notes
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/baseline_command_dry_plan_phase3r.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/phase3r_export_st_expression_from_rdata.R,R,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/random_all_cell_size_matched_control_dry_design.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/README.md,md,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/reference_cell_list.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/reference_cell_type_counts.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/reference_expression_audit.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/reference_gene_list.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/reference_metadata_audit.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/scrna_only_genes.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_barcode_list_full_2248.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_coordinates_full_2248.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_endpoint_spot_coverage_audit.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_counts.csv.gz,gz,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_counts_spots_by_genes.csv.gz,gz,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_data.csv.gz,gz,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_data_spots_by_genes.csv.gz,gz,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_gene_list_full_2248.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_only_genes.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_r_export_stderr.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_r_export_stdout.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_r_export_summary.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_sc_gene_overlap_audit.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_spot_metadata_full_2248.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
