gene,in_ST,in_scRNA,exact_overlap,case_insensitive_overlap,used_for_formal_overlap
ABHD11,True,False,False,False,False
ABHD12,True,False,False,False,False
ABHD12B,True,False,False,False,False
ABHD13,True,False,False,False,False
ABHD14A,True,False,False,False,False
ABHD14A-ACY1,True,False,False,False,False
ABHD14B,True,True,True,True,True
ABHD15,True,False,False,False,False
ABHD15-AS1,True,False,False,False,False
ABHD16A,True,False,False,False,False
ABHD16B,True,False,False,False,False
ABHD17A,True,False,False,False,False
ABHD17B,True,False,False,False,False
ABHD17C,True,False,False,False,False
ABHD18,True,False,False,False,False
ABHD2,True,False,False,False,False
ABHD3,True,False,False,False,False
ABHD4,True,False,False,False,False
ABHD5,True,True,True,True,True
ABHD6,True,False,False,False,False
ABHD8,True,False,False,False,False
ABI1,True,True,True,True,True
ABI2,True,False,False,False,False
ABI3,True,False,False,False,False
ABI3BP,True,False,False,False,False
ABL1,True,False,False,False,False
ABL2,True,False,False,False,False
ABLIM1,True,False,False,False,False
ABLIM2,True,False,False,False,False
ABLIM3,True,False,False,False,False
ABO,True,False,False,False,False
ABR,True,False,False,False,False
ABRA,True,False,False,False,False
ABRACL,True,True,True,True,True
ABRAXAS1,True,False,False,False,False
ABRAXAS2,True,False,False,False,False
ABT1,True,False,False,False,False
ABTB1,True,False,False,False,False
ABTB2,True,False,False,False,False
AC000032.1,True,False,False,False,False
AC000035.1,True,False,False,False,False
AC000036.1,True,False,False,False,False
AC000058.1,True,False,False,False,False
AC000061.1,True,False,False,False,False
AC000067.1,True,False,False,False,False
AC000068.1,True,False,False,False,False
AC000068.2,True,False,False,False,False
AC000068.3,True,False,False,False,False
AC000093.1,True,False,False,False,False
AC000099.1,True,False,False,False,False
AC000123.1,True,False,False,False,False
AC000124.1,True,False,False,False,False
AC000372.1,True,False,False,False,False
AC000403.1,True,False,False,False,False
AC001226.1,True,False,False,False,False
AC001226.2,True,False,False,False,False
AC002056.2,True,False,False,False,False
AC002064.1,True,False,False,False,False
AC002064.2,True,False,False,False,False
AC002066.1,True,False,False,False,False
AC002070.1,True,False,False,False,False
AC002074.1,True,False,False,False,False
AC002076.1,True,False,False,False,False
AC002091.1,True,False,False,False,False
AC002091.2,True,False,False,False,False
AC002094.2,True,False,False,False,False
AC002094.3,True,False,False,False,False
AC002101.1,True,False,False,False,False
AC002115.1,True,False,False,False,False
AC002116.2,True,False,False,False,False
AC002127.2,True,False,False,False,False
AC002128.2,True,False,False,False,False
AC002306.1,True,False,False,False,False
AC002310.1,True,False,False,False,False
AC002310.2,True,False,False,False,False
AC002310.4,True,False,False,False,False
AC002310.5,True,False,False,False,False
AC002347.1,True,False,False,False,False
AC002347.2,True,False,False,False,False
AC002351.1,True,False,False,False,False
AC002368.1,True,False,False,False,False
AC002375.1,True,False,False,False,False
AC002378.1,True,False,False,False,False
AC002383.1,True,False,False,False,False
AC002384.1,True,False,False,False,False
AC002386.1,True,False,False,False,False
AC002398.1,True,False,False,False,False
AC002398.2,True,False,False,False,False
AC002401.1,True,False,False,False,False
AC002401.2,True,False,False,False,False
AC002401.3,True,False,False,False,False
AC002401.4,True,False,False,False,False
AC002428.1,True,False,False,False,False
AC002428.2,True,False,False,False,False
AC002429.2,True,False,False,False,False
AC002451.1,True,False,False,False,False
AC002454.1,True,False,False,False,False
AC002456.1,True,False,False,False,False
AC002463.1,True,False,False,False,False
AC002464.1,True,False,False,False,False
AC002465.1,True,False,False,False,False
AC002467.1,True,False,False,False,False
AC002470.1,True,False,False,False,False
AC002472.1,True,False,False,False,False
AC002480.2,True,False,False,False,False
AC002480.3,True,False,False,False,False
AC002480.4,True,False,False,False,False
AC002511.1,True,False,False,False,False
AC002511.2,True,False,False,False,False
AC002546.1,True,False,False,False,False
AC002550.1,True,False,False,False,False
AC002550.2,True,False,False,False,False
AC002553.1,True,False,False,False,False
AC002553.2,True,False,False,False,False
AC002558.2,True,False,False,False,False
AC002563.1,True,False,False,False,False
AC002985.1,True,False,False,False,False
AC002996.1,True,False,False,False,False
AC003001.1,True,False,False,False,False
AC003002.1,True,False,False,False,False
AC003002.2,True,False,False,False,False
AC003002.3,True,False,False,False,False
AC003005.1,True,False,False,False,False
AC003005.2,True,False,False,False,False
AC003006.1,True,False,False,False,False
AC003009.1,True,False,False,False,False
AC003035.1,True,False,False,False,False
AC003035.2,True,False,False,False,False
AC003043.1,True,False,False,False,False
AC003043.2,True,False,False,False,False
AC003070.1,True,False,False,False,False
AC003070.2,True,False,False,False,False
AC003084.1,True,False,False,False,False
AC003087.1,True,False,False,False,False
AC003092.1,True,False,False,False,False
AC003092.2,True,False,False,False,False
AC003098.1,True,False,False,False,False
AC003101.1,True,False,False,False,False
AC003101.2,True,False,False,False,False
AC003102.1,True,False,False,False,False
AC003666.1,True,False,False,False,False
AC003681.1,True,False,False,False,False
AC003682.1,True,False,False,False,False
AC003684.1,True,False,False,False,False
AC003685.1,True,False,False,False,False
AC003688.1,True,False,False,False,False
AC003688.2,True,False,False,False,False
AC003956.1,True,False,False,False,False
AC003958.2,True,False,False,False,False
AC003965.1,True,False,False,False,False
AC003965.2,True,False,False,False,False
AC003973.1,True,False,False,False,False
AC003973.2,True,False,False,False,False
AC003975.1,True,False,False,False,False
AC003982.1,True,False,False,False,False
AC003984.1,True,False,False,False,False
AC003985.1,True,False,False,False,False
AC003985.2,True,False,False,False,False
AC003986.1,True,False,False,False,False
AC003986.2,True,False,False,False,False
AC003986.3,True,False,False,False,False
AC003988.1,True,False,False,False,False
AC003991.1,True,False,False,False,False
AC003991.2,True,False,False,False,False
AC004009.1,True,False,False,False,False
AC004012.1,True,False,False,False,False
AC004014.1,True,False,False,False,False
AC004023.1,True,False,False,False,False
AC004034.1,True,False,False,False,False
AC004039.1,True,False,False,False,False
AC004052.1,True,False,False,False,False
AC004053.1,True,False,False,False,False
AC004054.1,True,False,False,False,False
AC004063.1,True,False,False,False,False
AC004066.2,True,False,False,False,False
AC004067.1,True,False,False,False,False
AC004069.1,True,False,False,False,False
AC004076.1,True,False,False,False,False
AC004076.2,True,False,False,False,False
AC004080.1,True,False,False,False,False
AC004080.2,True,False,False,False,False
AC004080.3,True,False,False,False,False
AC004112.1,True,False,False,False,False
AC004130.1,True,False,False,False,False
AC004147.2,True,False,False,False,False
AC004147.3,True,False,False,False,False
AC004148.1,True,False,False,False,False
AC004148.2,True,False,False,False,False
AC004149.1,True,False,False,False,False
AC004156.1,True,False,False,False,False
AC004158.1,True,False,False,False,False
AC004160.2,True,False,False,False,False
AC004217.1,True,False,False,False,False
AC004221.1,True,False,False,False,False
AC004223.2,True,False,False,False,False
AC004223.3,True,False,False,False,False
AC004223.4,True,False,False,False,False
AC004231.1,True,False,False,False,False
AC004231.3,True,False,False,False,False
AC004232.2,True,False,False,False,False
AC004233.2,True,False,False,False,False
AC004233.3,True,False,False,False,False
AC004233.4,True,False,False,False,False
AC004241.1,True,False,False,False,False
AC004241.2,True,False,False,False,False
AC004253.1,True,False,False,False,False
AC004253.2,True,False,False,False,False
AC004257.1,True,False,False,False,False
AC004263.1,True,False,False,False,False
AC004264.1,True,False,False,False,False
AC004381.1,True,False,False,False,False
AC004408.1,True,False,False,False,False
AC004415.1,True,False,False,False,False
AC004448.1,True,False,False,False,False
AC004448.2,True,False,False,False,False
AC004448.3,True,False,False,False,False
AC004449.1,True,False,False,False,False
AC004466.1,True,False,False,False,False
AC004466.3,True,False,False,False,False
AC004470.1,True,False,False,False,False
AC004471.1,True,False,False,False,False
AC004471.2,True,False,False,False,False
AC004477.2,True,False,False,False,False
AC004477.3,True,False,False,False,False
AC004485.1,True,False,False,False,False
AC004490.1,True,False,False,False,False
AC004492.1,True,False,False,False,False
AC004494.1,True,False,False,False,False
AC004520.1,True,False,False,False,False
AC004522.2,True,False,False,False,False
AC004528.1,True,False,False,False,False
AC004528.2,True,False,False,False,False
AC004540.1,True,False,False,False,False
AC004540.2,True,False,False,False,False
AC004542.1,True,False,False,False,False
AC004542.2,True,False,False,False,False
AC004543.1,True,False,False,False,False
AC004551.1,True,False,False,False,False
AC004554.2,True,False,False,False,False
AC004556.1,True,False,False,False,False
AC004584.1,True,False,False,False,False
AC004585.1,True,False,False,False,False
AC004590.1,True,False,False,False,False
AC004593.1,True,False,False,False,False
AC004593.3,True,False,False,False,False
AC004594.1,True,False,False,False,False
AC004596.1,True,False,False,False,False
AC004597.1,True,False,False,False,False
AC004637.1,True,False,False,False,False
AC004672.1,True,False,False,False,False
AC004674.1,True,False,False,False,False
AC004687.1,True,False,False,False,False
AC004690.2,True,False,False,False,False
AC004691.1,True,False,False,False,False
AC004691.2,True,False,False,False,False
AC004692.2,True,False,False,False,False
AC004702.1,True,False,False,False,False
AC004704.1,True,False,False,False,False
AC004706.1,True,False,False,False,False
AC004707.1,True,False,False,False,False
AC004754.1,True,False,False,False,False
AC004771.1,True,False,False,False,False
AC004771.2,True,False,False,False,False
AC004771.3,True,False,False,False,False
AC004771.4,True,False,False,False,False
AC004771.5,True,False,False,False,False
AC004775.1,True,False,False,False,False
AC004784.1,True,False,False,False,False
AC004801.3,True,False,False,False,False
AC004801.4,True,False,False,False,False
AC004801.5,True,False,False,False,False
AC004801.6,True,False,False,False,False
AC004803.1,True,False,False,False,False
AC004805.1,True,False,False,False,False
AC004812.2,True,False,False,False,False
AC004816.1,True,False,False,False,False
AC004816.2,True,False,False,False,False
AC004817.1,True,False,False,False,False
AC004817.2,True,False,False,False,False
AC004817.3,True,False,False,False,False
AC004817.4,True,False,False,False,False
AC004824.1,True,False,False,False,False
AC004825.2,True,False,False,False,False
AC004828.1,True,False,False,False,False
AC004830.1,True,False,False,False,False
AC004832.1,True,False,False,False,False
AC004832.3,True,False,False,False,False
AC004832.6,True,False,False,False,False
AC004834.1,True,False,False,False,False
AC004835.1,True,False,False,False,False
AC004837.2,True,False,False,False,False
AC004837.3,True,False,False,False,False
AC004839.1,True,False,False,False,False
AC004846.1,True,False,False,False,False
AC004846.2,True,False,False,False,False
AC004852.2,True,False,False,False,False
AC004854.2,True,False,False,False,False
AC004862.1,True,False,False,False,False
AC004865.2,True,False,False,False,False
AC004869.1,True,False,False,False,False
AC004869.2,True,False,False,False,False
AC004870.3,True,False,False,False,False
AC004870.4,True,False,False,False,False
AC004872.1,True,False,False,False,False
AC004875.1,True,False,False,False,False
AC004877.1,True,False,False,False,False
AC004882.1,True,False,False,False,False
AC004882.2,True,False,False,False,False
AC004884.2,True,False,False,False,False
AC004888.1,True,False,False,False,False
AC004889.1,True,False,False,False,False
AC004895.1,True,False,False,False,False
AC004906.1,True,False,False,False,False
AC004908.1,True,False,False,False,False
AC004908.3,True,False,False,False,False
AC004918.1,True,False,False,False,False
AC004920.1,True,False,False,False,False
AC004921.1,True,False,False,False,False
AC004922.1,True,False,False,False,False
AC004923.4,True,False,False,False,False
AC004930.1,True,False,False,False,False
AC004936.1,True,False,False,False,False
AC004941.1,True,False,False,False,False
AC004943.1,True,False,False,False,False
AC004943.2,True,False,False,False,False
AC004943.3,True,False,False,False,False
AC004944.1,True,False,False,False,False
AC004946.1,True,False,False,False,False
AC004947.1,True,False,False,False,False
AC004948.1,True,False,False,False,False
AC004949.1,True,False,False,False,False
AC004951.1,True,False,False,False,False
AC004969.1,True,False,False,False,False
AC004973.1,True,False,False,False,False
AC004975.2,True,False,False,False,False
AC004982.1,True,False,False,False,False
AC004982.2,True,False,False,False,False
AC004988.1,True,False,False,False,False
AC004990.1,True,False,False,False,False
AC004994.1,True,False,False,False,False
AC004997.1,True,False,False,False,False
AC005005.3,True,False,False,False,False
AC005008.2,True,False,False,False,False
AC005009.1,True,False,False,False,False
AC005009.2,True,False,False,False,False
AC005013.1,True,False,False,False,False
AC005014.2,True,False,False,False,False
AC005014.3,True,False,False,False,False
AC005019.2,True,False,False,False,False
AC005020.2,True,False,False,False,False
AC005021.1,True,False,False,False,False
AC005034.2,True,False,False,False,False
AC005034.3,True,False,False,False,False
AC005034.4,True,False,False,False,False
AC005037.1,True,False,False,False,False
AC005041.1,True,False,False,False,False
AC005041.3,True,False,False,False,False
AC005042.2,True,False,False,False,False
AC005046.1,True,False,False,False,False
AC005050.1,True,False,False,False,False
AC005064.1,True,False,False,False,False
AC005070.3,True,False,False,False,False
AC005076.1,True,False,False,False,False
AC005082.1,True,False,False,False,False
AC005086.1,True,False,False,False,False
AC005090.1,True,False,False,False,False
AC005091.1,True,False,False,False,False
AC005096.1,True,False,False,False,False
AC005104.1,True,False,False,False,False
AC005144.1,True,False,False,False,False
AC005150.1,True,False,False,False,False
AC005154.4,True,False,False,False,False
AC005154.5,True,False,False,False,False
AC005154.6,True,False,False,False,False
AC005162.1,True,False,False,False,False
AC005162.2,True,False,False,False,False
AC005162.3,True,False,False,False,False
AC005165.1,True,False,False,False,False
AC005180.1,True,False,False,False,False
AC005180.2,True,False,False,False,False
AC005186.1,True,False,False,False,False
AC005197.1,True,False,False,False,False
AC005208.1,True,False,False,False,False
AC005209.1,True,False,False,False,False
AC005220.1,True,False,False,False,False
AC005224.1,True,False,False,False,False
AC005224.2,True,False,False,False,False
AC005224.3,True,False,False,False,False
AC005224.4,True,False,False,False,False
AC005225.2,True,False,False,False,False
AC005225.3,True,False,False,False,False
AC005229.4,True,False,False,False,False
AC005232.1,True,False,False,False,False
AC005234.1,True,False,False,False,False
AC005237.1,True,False,False,False,False
AC005244.2,True,False,False,False,False
AC005253.1,True,False,False,False,False
AC005253.2,True,False,False,False,False
AC005256.1,True,False,False,False,False
AC005258.1,True,False,False,False,False
AC005261.1,True,False,False,False,False
AC005261.2,True,False,False,False,False
AC005261.3,True,False,False,False,False
AC005262.2,True,False,False,False,False
AC005264.1,True,False,False,False,False
AC005277.1,True,False,False,False,False
AC005277.2,True,False,False,False,False
AC005280.2,True,False,False,False,False
AC005281.1,True,False,False,False,False
AC005288.1,True,False,False,False,False
AC005291.1,True,False,False,False,False
AC005291.2,True,False,False,False,False
AC005303.1,True,False,False,False,False
AC005304.1,True,False,False,False,False
AC005304.2,True,False,False,False,False
AC005304.3,True,False,False,False,False
AC005307.1,True,False,False,False,False
AC005323.1,True,False,False,False,False
AC005323.2,True,False,False,False,False
AC005324.1,True,False,False,False,False
AC005324.2,True,False,False,False,False
AC005324.3,True,False,False,False,False
AC005324.4,True,False,False,False,False
AC005324.5,True,False,False,False,False
AC005329.1,True,False,False,False,False
AC005329.2,True,False,False,False,False
AC005329.3,True,False,False,False,False
AC005330.1,True,False,False,False,False
AC005332.1,True,False,False,False,False
AC005332.3,True,False,False,False,False
AC005332.4,True,False,False,False,False
AC005332.5,True,False,False,False,False
AC005332.6,True,False,False,False,False
AC005332.7,True,False,False,False,False
AC005332.8,True,False,False,False,False
AC005339.1,True,False,False,False,False
AC005342.1,True,False,False,False,False
AC005342.2,True,False,False,False,False
AC005344.1,True,False,False,False,False
AC005355.1,True,False,False,False,False
AC005358.1,True,False,False,False,False
AC005358.2,True,False,False,False,False
AC005363.2,True,False,False,False,False
AC005379.1,True,False,False,False,False
AC005381.1,True,False,False,False,False
AC005383.1,True,False,False,False,False
AC005387.1,True,False,False,False,False
AC005387.2,True,False,False,False,False
AC005392.1,True,False,False,False,False
AC005392.2,True,False,False,False,False
AC005392.3,True,False,False,False,False
AC005393.1,True,False,False,False,False
AC005394.1,True,False,False,False,False
AC005410.2,True,False,False,False,False
AC005476.2,True,False,False,False,False
AC005479.1,True,False,False,False,False
AC005479.2,True,False,False,False,False
AC005480.1,True,False,False,False,False
AC005481.1,True,False,False,False,False
AC005482.1,True,False,False,False,False
AC005486.1,True,False,False,False,False
AC005487.1,True,False,False,False,False
AC005498.1,True,False,False,False,False
AC005498.2,True,False,False,False,False
AC005498.3,True,False,False,False,False
AC005515.2,True,False,False,False,False
AC005520.1,True,False,False,False,False
AC005520.2,True,False,False,False,False
AC005520.5,True,False,False,False,False
AC005522.1,True,False,False,False,False
AC005523.1,True,False,False,False,False
AC005523.2,True,False,False,False,False
AC005534.1,True,False,False,False,False
AC005537.1,True,False,False,False,False
AC005538.1,True,False,False,False,False
AC005540.1,True,False,False,False,False
AC005544.1,True,False,False,False,False
AC005544.2,True,False,False,False,False
AC005546.1,True,False,False,False,False
AC005549.1,True,False,False,False,False
AC005550.1,True,False,False,False,False
AC005550.2,True,False,False,False,False
AC005551.1,True,False,False,False,False
AC005552.1,True,False,False,False,False
AC005580.1,True,False,False,False,False
AC005586.1,True,False,False,False,False
AC005592.1,True,False,False,False,False
AC005597.1,True,False,False,False,False
AC005606.1,True,False,False,False,False
AC005606.2,True,False,False,False,False
AC005609.1,True,False,False,False,False
AC005609.2,True,False,False,False,False
AC005609.3,True,False,False,False,False
AC005609.4,True,False,False,False,False
AC005609.5,True,False,False,False,False
AC005614.1,True,False,False,False,False
AC005616.1,True,False,False,False,False
AC005618.1,True,False,False,False,False
AC005618.2,True,False,False,False,False
AC005618.3,True,False,False,False,False
AC005625.1,True,False,False,False,False
AC005632.4,True,False,False,False,False
AC005670.1,True,False,False,False,False
AC005670.2,True,False,False,False,False
AC005674.1,True,False,False,False,False
AC005692.1,True,False,False,False,False
AC005692.2,True,False,False,False,False
AC005695.1,True,False,False,False,False
AC005695.2,True,False,False,False,False
AC005695.3,True,False,False,False,False
AC005696.1,True,False,False,False,False
AC005696.2,True,False,False,False,False
AC005696.3,True,False,False,False,False
AC005696.4,True,False,False,False,False
AC005697.1,True,False,False,False,False
AC005697.2,True,False,False,False,False
AC005699.1,True,False,False,False,False
AC005702.1,True,False,False,False,False
AC005703.1,True,False,False,False,False
AC005703.2,True,False,False,False,False
AC005703.3,True,False,False,False,False
AC005703.4,True,False,False,False,False
AC005722.2,True,False,False,False,False
AC005722.3,True,False,False,False,False
AC005725.1,True,False,False,False,False
AC005726.1,True,False,False,False,False
AC005726.2,True,False,False,False,False
AC005726.4,True,False,False,False,False
AC005726.5,True,False,False,False,False
AC005730.2,True,False,False,False,False
AC005736.3,True,False,False,False,False
AC005740.3,True,False,False,False,False
AC005740.4,True,False,False,False,False
AC005746.2,True,False,False,False,False
AC005746.3,True,False,False,False,False
AC005753.1,True,False,False,False,False
AC005757.1,True,False,False,False,False
AC005759.1,True,False,False,False,False
AC005772.1,True,False,False,False,False
AC005774.1,True,False,False,False,False
AC005775.1,True,False,False,False,False
AC005776.2,True,False,False,False,False
AC005779.1,True,False,False,False,False
AC005779.2,True,False,False,False,False
AC005786.2,True,False,False,False,False
AC005786.3,True,False,False,False,False
AC005789.1,True,False,False,False,False
AC005790.1,True,False,False,False,False
AC005808.1,True,False,False,False,False
AC005821.1,True,False,False,False,False
AC005823.1,True,False,False,False,False
AC005823.2,True,False,False,False,False
AC005828.1,True,False,False,False,False
AC005828.2,True,False,False,False,False
AC005828.3,True,False,False,False,False
AC005828.4,True,False,False,False,False
AC005828.5,True,False,False,False,False
AC005832.4,True,False,False,False,False
AC005833.1,True,False,False,False,False
AC005833.2,True,False,False,False,False
AC005833.3,True,False,False,False,False
AC005837.1,True,False,False,False,False
AC005837.2,True,False,False,False,False
AC005837.3,True,False,False,False,False
AC005838.2,True,False,False,False,False
AC005840.2,True,False,False,False,False
AC005840.4,True,False,False,False,False
AC005841.1,True,False,False,False,False
AC005842.1,True,False,False,False,False
AC005845.1,True,False,False,False,False
AC005856.1,True,False,False,False,False
AC005863.1,True,False,False,False,False
AC005865.1,True,False,False,False,False
AC005871.1,True,False,False,False,False
AC005871.2,True,False,False,False,False
AC005884.1,True,False,False,False,False
AC005884.2,True,False,False,False,False
AC005899.1,True,False,False,False,False
AC005899.3,True,False,False,False,False
AC005899.5,True,False,False,False,False
AC005899.6,True,False,False,False,False
AC005899.7,True,False,False,False,False
AC005899.8,True,False,False,False,False
AC005901.1,True,False,False,False,False
AC005908.2,True,False,False,False,False
AC005909.1,True,False,False,False,False
AC005920.1,True,False,False,False,False
AC005920.2,True,False,False,False,False
AC005920.3,True,False,False,False,False
AC005920.4,True,False,False,False,False
AC005921.2,True,False,False,False,False
AC005943.1,True,False,False,False,False
AC005944.1,True,False,False,False,False
AC005954.2,True,False,False,False,False
AC005962.1,True,False,False,False,False
AC005972.1,True,False,False,False,False
AC005972.4,True,False,False,False,False
AC005993.1,True,False,False,False,False
AC005996.1,True,False,False,False,False
AC005999.1,True,False,False,False,False
AC006004.1,True,False,False,False,False
AC006007.1,True,False,False,False,False
AC006012.1,True,False,False,False,False
AC006013.1,True,False,False,False,False
AC006017.1,True,False,False,False,False
AC006019.1,True,False,False,False,False
AC006019.2,True,False,False,False,False
AC006019.3,True,False,False,False,False
AC006026.3,True,False,False,False,False
AC006027.1,True,False,False,False,False
AC006030.1,True,False,False,False,False
AC006033.2,True,False,False,False,False
AC006037.1,True,False,False,False,False
AC006041.1,True,False,False,False,False
AC006042.1,True,False,False,False,False
AC006042.2,True,False,False,False,False
AC006042.4,True,False,False,False,False
AC006055.1,True,False,False,False,False
AC006058.1,True,False,False,False,False
AC006058.2,True,False,False,False,False
AC006058.3,True,False,False,False,False
AC006059.1,True,False,False,False,False
AC006063.2,True,False,False,False,False
AC006064.1,True,False,False,False,False
AC006064.2,True,False,False,False,False
AC006064.3,True,False,False,False,False
AC006064.4,True,False,False,False,False
AC006064.6,True,False,False,False,False
AC006065.3,True,False,False,False,False
AC006065.4,True,False,False,False,False
AC006076.1,True,False,False,False,False
AC006111.1,True,False,False,False,False
AC006111.3,True,False,False,False,False
AC006115.1,True,False,False,False,False
AC006115.3,True,False,False,False,False
AC006116.4,True,False,False,False,False
AC006116.8,True,False,False,False,False
AC006116.9,True,False,False,False,False
AC006130.1,True,False,False,False,False
AC006145.1,True,False,False,False,False
AC006146.1,True,False,False,False,False
AC006148.1,True,False,False,False,False
AC006148.2,True,False,False,False,False
AC006150.1,True,False,False,False,False
AC006157.1,True,False,False,False,False
AC006159.1,True,False,False,False,False
AC006159.2,True,False,False,False,False
AC006160.1,True,False,False,False,False
AC006205.1,True,False,False,False,False
AC006206.1,True,False,False,False,False
AC006206.2,True,False,False,False,False
AC006207.1,True,False,False,False,False
AC006213.1,True,False,False,False,False
AC006213.2,True,False,False,False,False
AC006213.3,True,False,False,False,False
AC006238.1,True,False,False,False,False
AC006252.1,True,False,False,False,False
AC006254.1,True,False,False,False,False
AC006262.2,True,False,False,False,False
AC006262.3,True,False,False,False,False
AC006270.1,True,False,False,False,False
AC006272.1,True,False,False,False,False
AC006273.1,True,False,False,False,False
AC006288.1,True,False,False,False,False
AC006296.1,True,False,False,False,False
AC006296.2,True,False,False,False,False
AC006299.1,True,False,False,False,False
AC006305.1,True,False,False,False,False
AC006305.2,True,False,False,False,False
AC006305.3,True,False,False,False,False
AC006329.1,True,False,False,False,False
AC006333.1,True,False,False,False,False
AC006333.2,True,False,False,False,False
AC006355.2,True,False,False,False,False
AC006357.1,True,False,False,False,False
AC006369.1,True,False,False,False,False
AC006369.2,True,False,False,False,False
AC006372.1,True,False,False,False,False
AC006372.2,True,False,False,False,False
AC006372.3,True,False,False,False,False
AC006378.1,True,False,False,False,False
AC006435.1,True,False,False,False,False
AC006435.2,True,False,False,False,False
AC006435.3,True,False,False,False,False
AC006441.1,True,False,False,False,False
AC006441.3,True,False,False,False,False
AC006441.4,True,False,False,False,False
AC006449.1,True,False,False,False,False
AC006449.2,True,False,False,False,False
AC006449.3,True,False,False,False,False
AC006449.5,True,False,False,False,False
AC006449.6,True,False,False,False,False
AC006450.2,True,False,False,False,False
AC006450.3,True,False,False,False,False
AC006455.1,True,False,False,False,False
AC006455.4,True,False,False,False,False
AC006458.1,True,False,False,False,False
AC006460.1,True,False,False,False,False
AC006480.2,True,False,False,False,False
AC006482.1,True,False,False,False,False
AC006483.2,True,False,False,False,False
AC006486.1,True,False,False,False,False
AC006487.1,True,False,False,False,False
AC006487.2,True,False,False,False,False
AC006504.1,True,False,False,False,False
AC006504.2,True,False,False,False,False
AC006504.5,True,False,False,False,False
AC006511.4,True,False,False,False,False
AC006518.7,True,False,False,False,False
AC006538.2,True,False,False,False,False
AC006547.1,True,False,False,False,False
AC006547.2,True,False,False,False,False
AC006547.3,True,False,False,False,False
AC006557.1,True,False,False,False,False
AC006557.3,True,False,False,False,False
AC006581.1,True,False,False,False,False
AC006581.2,True,False,False,False,False
AC006942.1,True,False,False,False,False
AC006946.2,True,False,False,False,False
AC006946.3,True,False,False,False,False
AC006960.2,True,False,False,False,False
AC006960.3,True,False,False,False,False
AC006967.2,True,False,False,False,False
AC006967.3,True,False,False,False,False
AC006974.1,True,False,False,False,False
AC006974.2,True,False,False,False,False
AC006978.2,True,False,False,False,False
AC007001.1,True,False,False,False,False
AC007009.1,True,False,False,False,False
AC007014.1,True,False,False,False,False
AC007029.1,True,False,False,False,False
AC007032.1,True,False,False,False,False
AC007036.1,True,False,False,False,False
AC007038.1,True,False,False,False,False
AC007038.2,True,False,False,False,False
