file,type,description,created_by_phase,status,notes
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_concordant_interpretation_by_spot.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_concordant_interpretation_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_positive_forced_nonimmune_burden_reduction.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_positive_forced_nonimmune_burden_reduction.svg,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_positive_forced_nonimmune_burden_reduction_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/figure_manifest.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/gene_count_audit.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/gene_count_audit.json,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/manifest.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/phase5_baseline_anchor_import_qc.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/phase7_svtuner_raw_output_import_qc.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/phase8_input_qc.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/phase8_svtuner_endpoint_metric_summary.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/phase8_svtuner_endpoint_metric_summary.svg,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/README.md,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/spatial_overlap_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/svtuner_endpoint_score_by_spot.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_enrichment_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_pr_curve.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_roc_curve.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_positive_vs_negative_boxplot.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_positive_vs_negative_boxplot.svg,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_pr_curve.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_pr_curve.svg,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_roc_curve.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/withheld_score_roc_curve.svg,output,Phase 8 output,BioApp Phase 8,generated,
