record_id	relative_path	sha1	byte_size	figure_panels	expected_source_value_inputs	output_filenames	output_format	retention_status	candidate_path
FIGSCRIPT-011	scripts/run_highres_targeted_validation_fig2d.py	61c3c92a339c470832419d429e6ca22771f24d86	4747	Fig. 3C targeted 10-readout panel	configs/highres_targeted_validation_fig2d.csv	targeted_fig2d_highres_fixed_panel.png/pdf/svg and source tables	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_highres_targeted_validation_fig2d.py
FIGSCRIPT-012	scripts/plot_cytospace_fig2k_mapping_with_route2.py	8490a7bd686ecc1e525bbcc49540b04e1e66ff30	9946	Fig. 3E	T-cell state-decoy baseline and route2 mappings	fig2k_stage3_detected_state_decoy_baseline_vs_route2.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cytospace_fig2k_mapping_with_route2.py
FIGSCRIPT-013	scripts/plot_cytospace_fig2i_forced_unsupported.py	a67cf837763549309d022c7e0718aad7fab4bd67	12493	Fig. 3F	kidney state-decoy baseline and route2 mappings	fig2i_stage3_detected_state32like_n1000_baseline_vs_route2*.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cytospace_fig2i_forced_unsupported.py
FIGSCRIPT-014	scripts/plot_stage3b_reference_dropout_spatial_stack.py	fa1fa4c4f99961015f4c75a71704f7d327c6478f	12518	Fig. 4A/F	reference-dropout Stage3B summaries and spatial outputs	stage3b_reference_dropout_spatial_stack_recommended_6x2.svg/png	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_spatial_stack.py
FIGSCRIPT-015	scripts/plot_stage3b_reference_dropout_panel_a_violin.py	e836a22da7cf8b7322b1ebd48d070548bf3a7a79	8570	Fig. 4B	marker percentile values	reference-dropout marker percentile panel	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_panel_a_violin.py
FIGSCRIPT-016	scripts/plot_stage3b_reference_dropout_panel_a_blank_composition.py	ee397ac2ebd4c8150a3bbef2ba705e2f8b749eff	9624	Fig. 4C	blank-region composition summaries	reference-dropout blank composition panel	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_panel_a_blank_composition.py
FIGSCRIPT-017	scripts/plot_cell2location_abstention_aware_region_accuracy.py	20e8e074c2098fa32744104a7aaa5244ad09ba4a	14268	Fig. 4E	thalamic region/spot tables and frozen reference labels	cell2location_ST8059051_*_abstention_aware_region_accuracy.png	raster	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cell2location_abstention_aware_region_accuracy.py
FIGSCRIPT-018	scripts/plot_stage3b_reference_missing_cell2location_panels_bc.py	0101855700f7ca31070b5cc3f8babed70739b6ce	15433	Fig. 4G/H	forced-surrogate and expression-similarity matrices	cell2location reference-missing panels	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_missing_cell2location_panels_bc.py
FIGSCRIPT-019	scripts/plot_stage3b_reference_missing_thalamic_panels_bc.py	ef42dd5a4c42b1ca528fda2034f47c1ca92eb29d	7800	Fig. 4H	thalamic forced-assignment and expression-similarity tables	thalamic reference-missing panels	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_missing_thalamic_panels_bc.py
FIGSCRIPT-020	scripts/plot_stage3b_false_spatial_niche_compact.py	b6f1ec0282238e0774ef6c1af3e121a7efa16ac6	13658	Fig. 4I coupling	coupling matrices, pair statistics and reference-relative summary	false-spatial-niche compact panel	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_false_spatial_niche_compact.py
FIGSCRIPT-021	scripts/plot_stage3b_communication_strict_reference_style.py	44442817ca6024fbcc68d7e3f3684d3dc70bab16	28494	Fig. 4I KITLG-KIT	local LR hotspot and ligand-target source tables	stage3b_communication_strict_reference_style.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_communication_strict_reference_style.py
FIGSCRIPT-022	scripts/run_bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign.py	3ec12ba794bf0e5c265c2c9a162cd224de495532	68648	Fig. 5A-I	frozen endpoint, Phase 5/8 metrics, morphology, interface and microenvironment tables	bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign panels	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign.py
