record_id	asset_class	relative_path	filename	file_extension	byte_size	sha1	release_status	redistribution_class	formal_role	linked_figure_or_analysis	source_or_generator	notes
T4H-0011	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_fig3b_highres_profile_mask_enrichment.py	build_fig3b_highres_profile_mask_enrichment.py	.py	19595	afd135cd4f38255bf8ba9897c9bfca2cbb7b3b1e	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: five high-resolution mapping outputs; outputs: fig3b_highres_profile_mask_enrichment.png/pdf/svg and source tables	Fig. 3B	scripts/build_fig3b_highres_profile_mask_enrichment.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0012	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_highres_targeted_validation_fig2c.py	run_highres_targeted_validation_fig2c.py	.py	3337	8b78294ec02a798d60fa7344594c0260f7ba3c85	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: configs/highres_targeted_validation_fig2c.json; outputs: targeted_fig2c_*.png/pdf/svg and curve CSVs	Fig. 3C representative curve	scripts/run_highres_targeted_validation_fig2c.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0013	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_highres_profile_mask_fig2d_benchmark.py	build_highres_profile_mask_fig2d_benchmark.py	.py	18248	97649fc795769c17bb351506a5387957ddab63da	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: high-resolution mapping outputs; outputs: fig2d_highres_profile_mask_benchmark.png/pdf/svg and source tables	Fig. 3C 21-readout panel	scripts/build_highres_profile_mask_fig2d_benchmark.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0014	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_highres_targeted_validation_fig2d.py	run_highres_targeted_validation_fig2d.py	.py	4747	61c3c92a339c470832419d429e6ca22771f24d86	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: configs/highres_targeted_validation_fig2d.csv; outputs: targeted_fig2d_highres_fixed_panel.png/pdf/svg and source tables	Fig. 3C targeted 10-readout panel	scripts/run_highres_targeted_validation_fig2d.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0015	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cytospace_fig2k_mapping_with_route2.py	plot_cytospace_fig2k_mapping_with_route2.py	.py	9946	8490a7bd686ecc1e525bbcc49540b04e1e66ff30	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: T-cell state-decoy baseline and route2 mappings; outputs: fig2k_stage3_detected_state_decoy_baseline_vs_route2.png/pdf	Fig. 3E	scripts/plot_cytospace_fig2k_mapping_with_route2.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0016	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cytospace_fig2i_forced_unsupported.py	plot_cytospace_fig2i_forced_unsupported.py	.py	12493	a67cf837763549309d022c7e0718aad7fab4bd67	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: kidney state-decoy baseline and route2 mappings; outputs: fig2i_stage3_detected_state32like_n1000_baseline_vs_route2*.png/pdf	Fig. 3F	scripts/plot_cytospace_fig2i_forced_unsupported.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0017	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_spatial_stack.py	plot_stage3b_reference_dropout_spatial_stack.py	.py	12518	fa1fa4c4f99961015f4c75a71704f7d327c6478f	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: reference-dropout Stage3B summaries and spatial outputs; outputs: stage3b_reference_dropout_spatial_stack_recommended_6x2.svg/png	Fig. 4A/F	scripts/plot_stage3b_reference_dropout_spatial_stack.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0018	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_panel_a_violin.py	plot_stage3b_reference_dropout_panel_a_violin.py	.py	8570	e836a22da7cf8b7322b1ebd48d070548bf3a7a79	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: marker percentile values; outputs: reference-dropout marker percentile panel	Fig. 4B	scripts/plot_stage3b_reference_dropout_panel_a_violin.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0019	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_dropout_panel_a_blank_composition.py	plot_stage3b_reference_dropout_panel_a_blank_composition.py	.py	9624	ee397ac2ebd4c8150a3bbef2ba705e2f8b749eff	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: blank-region composition summaries; outputs: reference-dropout blank composition panel	Fig. 4C	scripts/plot_stage3b_reference_dropout_panel_a_blank_composition.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0020	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_cell2location_abstention_aware_region_accuracy.py	plot_cell2location_abstention_aware_region_accuracy.py	.py	14268	20e8e074c2098fa32744104a7aaa5244ad09ba4a	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: thalamic region/spot tables and frozen reference labels; outputs: cell2location_ST8059051_*_abstention_aware_region_accuracy.png	Fig. 4E	scripts/plot_cell2location_abstention_aware_region_accuracy.py	format=raster;retention=DIRECTLY_RETAINED
T4H-0021	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_missing_cell2location_panels_bc.py	plot_stage3b_reference_missing_cell2location_panels_bc.py	.py	15433	0101855700f7ca31070b5cc3f8babed70739b6ce	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: forced-surrogate and expression-similarity matrices; outputs: cell2location reference-missing panels	Fig. 4G/H	scripts/plot_stage3b_reference_missing_cell2location_panels_bc.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0022	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_reference_missing_thalamic_panels_bc.py	plot_stage3b_reference_missing_thalamic_panels_bc.py	.py	7800	ef42dd5a4c42b1ca528fda2034f47c1ca92eb29d	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: thalamic forced-assignment and expression-similarity tables; outputs: thalamic reference-missing panels	Fig. 4H	scripts/plot_stage3b_reference_missing_thalamic_panels_bc.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0023	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_false_spatial_niche_compact.py	plot_stage3b_false_spatial_niche_compact.py	.py	13658	b6f1ec0282238e0774ef6c1af3e121a7efa16ac6	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: coupling matrices, pair statistics and reference-relative summary; outputs: false-spatial-niche compact panel	Fig. 4I coupling	scripts/plot_stage3b_false_spatial_niche_compact.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0024	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_stage3b_communication_strict_reference_style.py	plot_stage3b_communication_strict_reference_style.py	.py	28494	44442817ca6024fbcc68d7e3f3684d3dc70bab16	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: local LR hotspot and ligand-target source tables; outputs: stage3b_communication_strict_reference_style.png/pdf	Fig. 4I KITLG-KIT	scripts/plot_stage3b_communication_strict_reference_style.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0025	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign.py	run_bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign.py	.py	68648	3ec12ba794bf0e5c265c2c9a162cd224de495532	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: frozen endpoint, Phase 5/8 metrics, morphology, interface and microenvironment tables; outputs: bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign panels	Fig. 5A-I	scripts/run_bioapp_main_figure_v3_12_panel_A_evidence_chain_redesign.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0026	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/__init__.py	__init__.py	.py	26	f02609234b058b5c1c3c43229c74b97d8e5fc882	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/__init__.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0027	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/common/__init__.py	__init__.py	.py	53	5810ea8691f98a79ebfd3286709257d199a187fd	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/common/__init__.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0028	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/common/argument_parser.py	argument_parser.py	.py	5733	42b203111bc6e576add91e4f3f0c82366013c73b	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/common/argument_parser.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0029	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/common/common.py	common.py	.py	9798	e7838f29ffcb3e6cfa0b16c105432a1c51bcce74	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/common/common.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0030	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/cytospace.py	cytospace.py	.py	41956	dfd069f7429f9b57fb38662603aacbb88065ed1f	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/cytospace.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0031	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/get_cellfracs_seuratv3.R	get_cellfracs_seuratv3.R	.r	10466	b38ba2f680db5f68cce4b92b21005155e0c794bc	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/get_cellfracs_seuratv3.R	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0032	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/linear_assignment_solvers/__init__.py	__init__.py	.py	40	c1635338edba3b4e504be61ed5fab6d9c6e052a6	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/linear_assignment_solvers/__init__.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0033	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/linear_assignment_solvers/linear_assignment_solvers.py	linear_assignment_solvers.py	.py	6381	2a317f4465a17bff48638da0edea7c32b2a0e7e2	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/linear_assignment_solvers/linear_assignment_solvers.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0034	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/post_processing/__init__.py	__init__.py	.py	53	2e3b40145ce37736afea753308aa399b7d1a798d	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/post_processing/__init__.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0035	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/post_processing/plot.py	plot.py	.py	13525	0b5a6b80a7fd8ba46914a19086b6301a56f927df	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/post_processing/plot.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0036	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/post_processing/post_processing.py	post_processing.py	.py	7047	35bccf38f90557b97b5d35c4d00d3a7ece20372b	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/post_processing/post_processing.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0037	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/Prepare_input_files/generate_cytospace_from_seurat_object.R	generate_cytospace_from_seurat_object.R	.r	5039	d64e70afe7b537326bea97830538ac9339771f93	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/Prepare_input_files/generate_cytospace_from_seurat_object.R	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0038	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace/Prepare_input_files/generate_cytospace_input_from_spaceranger_output.R	generate_cytospace_input_from_spaceranger_output.R	.r	2484	a33618a771dca8db70b8017bf07f64bba65a0a87	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace/Prepare_input_files/generate_cytospace_input_from_spaceranger_output.R	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0039	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace.egg-info/dependency_links.txt	dependency_links.txt	.txt	1	adc83b19e793491b1c6ea0fd8b46cd9f32e592fc	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace.egg-info/dependency_links.txt	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0040	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace.egg-info/entry_points.txt	entry_points.txt	.txt	64	e72c6c5df57c9f09fc5e9611d2a53a0d3b8be742	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace.egg-info/entry_points.txt	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0041	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace.egg-info/SOURCES.txt	SOURCES.txt	.txt	596	bc1b158809dc75e577ec730407fb90d92a199886	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace.egg-info/SOURCES.txt	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0042	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/cytospace.egg-info/top_level.txt	top_level.txt	.txt	10	147a580370caae5309d60c327af43356da8a571e	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/cytospace.egg-info/top_level.txt	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0043	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/LICENSE	LICENSE	NONE	2032	70e0f0bde1d4cd01d5899fb9f6b0077ade328b06	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/LICENSE	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0044	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/README-CN.md	README-CN.md	.md	68004	77e1f66ad7a9fe245bb7c1ebddb1997f51efd7a3	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/README-CN.md	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0045	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/README.md	README.md	.md	50627	ae1d1cc540449507b341583c8982e1533c9c4bd2	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/README.md	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0046	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/setup.py	setup.py	.py	545	6dcc8296ed9df58c17745094c30a9cd61ce526f0	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/setup.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0047	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/external/cytospace/uncertainty_quantification.R	uncertainty_quantification.R	.r	7378	303905cdda2af84473c2200a91dcca54dd1e9486	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	external/cytospace/uncertainty_quantification.R	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0048	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/r_scripts/stage1_preprocess.R	stage1_preprocess.R	.r	12283	ca76a17a7ad3f9dbd5a18869e002a3c7f42e80ac	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	r_scripts/stage1_preprocess.R	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0049	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/scripts/audit_dataset_provenance_formal.py	audit_dataset_provenance_formal.py	.py	82518	7808d43a217e2b8e039fa768b311c1bcda8a4c33	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	scripts/audit_dataset_provenance_formal.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0050	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/scripts/audit_fig5b_auprc_provenance.py	audit_fig5b_auprc_provenance.py	.py	52429	da59f8efd6e10b36b20b9ca2c64b258cbb7bfcd7	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	scripts/audit_fig5b_auprc_provenance.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0051	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/scripts/build_assigned_expression_from_stage1.py	build_assigned_expression_from_stage1.py	.py	2428	681e67328cb841a2347508341bd6b349929bb68e	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	scripts/build_assigned_expression_from_stage1.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0052	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/scripts/build_cytospace_fig2c_profile_mask_sample.py	build_cytospace_fig2c_profile_mask_sample.py	.py	21108	0680e00aa0ed58302f056f4e0909472f1a6786ab	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	scripts/build_cytospace_fig2c_profile_mask_sample.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
T4H-0053	SOURCE_CODE	reproducibility_release/release_candidate_v1.0/code/scripts/build_cytospace_fig2d_profile_mask_sample.py	build_cytospace_fig2d_profile_mask_sample.py	.py	8902	a5e3ad7a2f1016a2cfd9c3c7a1cce773d2ba72d7	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal or necessary supporting implementation	Stage0-Stage5, simulations, masking, dropout, BioApp, source values or audit	scripts/build_cytospace_fig2d_profile_mask_sample.py	Temporary/editable-SVG/redundant-storage and obsolete full-figure scripts excluded.
