record_id	asset_kind	asset_id_or_path	source_layer	frozen_manifest_class	release_classification	included_as_file	release_action	notes
RED-DATA-028	dataset	RD06_BRCA_FFPE_EPITHELIAL	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-029	dataset	RES01_ECOTYPER	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-030	dataset	RES02_LIANA_OMNIPATH	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-031	dataset	RES03_CYTOSPACE_SUPP_ORDERING	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-032	dataset	SIM01_BRCA	PROJECT_GENERATED_SIMULATION_TRUTH	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-033	dataset	SIM02_MOUSE_BRAIN	PROJECT_GENERATED_SIMULATION_TRUTH	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-034	dataset	SIM03_HUMAN_LUNG	PROJECT_GENERATED_SIMULATION_TRUTH	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-035	dataset	STATE01_TCELL_DECOY	PROJECT_GENERATED_DECOY	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-036	dataset	STATE02_KIDNEY_STATE32	PROJECT_GENERATED_DECOY	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-037	dataset	THAL01_ST8059051	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-SV-001	processed_source_value	visualizations/simulations/composite_stage3a_stage3b_recheck.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-002	processed_source_value	visualizations/simulations/simulation_stage3ab_joint_triptych_overview_stack_3datasets.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-003	processed_source_value	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_cell_type.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-004	processed_source_value	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_scenario.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-005	processed_source_value	visualizations/method_comparison/composite_no_noise/composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_summary.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-006	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_blank_summary.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-007	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_cell_type_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-008	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_input_audit.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-009	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_method_summary.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-010	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_paired_comparison.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-011	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_reused_method_audit.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-012	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_scenario_manifest.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-013	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-014	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_stage3a_audit.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-015	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_stage3b_audit.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-016	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_svtuner_method_comparisons.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-017	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_vs_old_stage3b_only.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-018	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_guardrails.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-019	processed_source_value	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_summary.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-020	processed_source_value	result/real_profile_mask_foundation/adult_mouse_kidney_real_profile_mask_endo/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-021	processed_source_value	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-022	processed_source_value	result/real_profile_mask_foundation/human_breast_cancer_real_profile_mask_basal_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-023	processed_source_value	result/real_profile_mask_foundation/human_breast_cancer_visium_ff_wta_real_profile_mask_macrophage/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-024	processed_source_value	result/real_profile_mask_foundation/human_breast_cancer_wta_120_real_profile_mask_endothelial_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-025	processed_source_value	result/real_profile_mask_foundation/human_cervical_cancer_real_profile_mask_epithelial_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-026	processed_source_value	result/real_profile_mask_foundation/human_heart_ff_real_profile_mask_endothelial_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-027	processed_source_value	result/real_profile_mask_foundation/human_intestine_cancer_real_profile_mask_endothelial_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-028	processed_source_value	result/real_profile_mask_foundation/human_lymph_node_real_profile_mask_b_cell/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-029	processed_source_value	result/real_profile_mask_foundation/mouse_embryo_real_profile_mask_erythroid/spot_foundation.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-030	processed_source_value	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_profile_mask_manifest.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-031	processed_source_value	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-032	processed_source_value	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-033	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/cd4_t_cells_distance_groups.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-034	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/cd4_t_cells_enrichment_curve.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-035	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/fig2c_official_enrichment_summary.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-036	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/cd4_t_cells_distance_groups.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-037	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/cd4_t_cells_enrichment_curve.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-038	processed_source_value	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/fig2c_official_enrichment_summary.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-039	processed_source_value	result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-040	processed_source_value	result/real_profile_mask_expression_recovery/expression_recovery_by_scenario.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-041	processed_source_value	result/real_profile_mask_expression_recovery/expression_recovery_by_spot.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-042	processed_source_value	result/real_profile_mask_expression_recovery/expression_recovery_long.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-043	processed_source_value	result/real_profile_mask_expression_recovery/expression_recovery_config.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-044	processed_source_value	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_metrics.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-045	processed_source_value	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_selected_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-046	processed_source_value	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-047	processed_source_value	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_manifest.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-048	processed_source_value	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_all_profiles.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-049	processed_source_value	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_candidate_scan.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-050	processed_source_value	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-051	processed_source_value	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_manifest.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-052	processed_source_value	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_fixed_profiles.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-053	processed_source_value	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_source_values.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-054	processed_source_value	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_manifest.json	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
RED-SV-055	processed_source_value	visualizations/highres_targeted_validation_fig2c/targeted_fig2c_monocytes_and_macrophages_ecotyper_monocytes_and_macrophages_ce9_humancoloncancerpatient1_baseline_highres_curve.csv	PROJECT_GENERATED_DERIVATIVE	NOT_APPLICABLE	PROJECT_GENERATED_REDISTRIBUTABLE	true	Include hashed quantitative derivative only.	No third-party raw matrix is included.
